AÑO,SERVICIO,REGIÓN,NOMBRE,INVERSIÓN (MILES DE $ AÑO 2021),PROGRAMA
2010,Dirección de Arquitectura ,Arica y Parinacota,AMPLIACION OFICINAS MOP EDIFICIO SERVICIOS PUBLICOS ARICA ARTURO PRAT 305 ARICA,10908.018019689509,EDIFICIOS MOP
2010,Dirección de Arquitectura ,Arica y Parinacota,AMPLIACION OFICINAS MOP EDIFICIO SERVICIOS PUBLICOS ARICA ARTURO PRAT 305 ARICA,394802.2542783518,EDIFICIOS MOP
2010,Dirección de Arquitectura ,Coquimbo,CONSTRUCCION EDIFICIO M.O.P. LA SERENA,12532.887716908193,EDIFICIOS MOP
2010,Dirección de Arquitectura ,Coquimbo,CONSTRUCCION EDIFICIO M.O.P. LA SERENA,3032166.9337160676,EDIFICIOS MOP
2010,Dirección de Arquitectura ,Coquimbo,CONSTRUCCION EDIFICIO M.O.P. LA SERENA,343010.41807057924,EDIFICIOS MOP
2010,Dirección de Arquitectura ,Valparaíso,CONSTRUCCION PARQUE CULTURAL CERRO CARCEL DE VALPARAISO,6768.637675074867,INFRAESTRUCTURA CULTURAL
2010,Dirección de Arquitectura ,Valparaíso,CONSTRUCCION PARQUE CULTURAL CERRO CARCEL DE VALPARAISO,194011.14179877107,INFRAESTRUCTURA CULTURAL
2010,Dirección de Arquitectura ,Valparaíso,CONSTRUCCION PARQUE CULTURAL CERRO CARCEL DE VALPARAISO,4777442.733737805,INFRAESTRUCTURA CULTURAL
2010,Dirección de Arquitectura ,Valparaíso,CONSTRUCCION PARQUE CULTURAL CERRO CARCEL DE VALPARAISO,2549.926290317028,INFRAESTRUCTURA CULTURAL
2010,Dirección de Arquitectura ,Valparaíso,CONSERVACION RESIDENCIA PRESIDENCIAL TRIENAL 2010 / 2012 VIÑA DEL MAR,86262.58977570821,EDIFICACION PATRIMONIAL
2010,Dirección de Arquitectura ,Metropolitana,CONSERVACION EDIFICIO SEREMI M.O.P. RM,474569.61514233577,EDIFICIOS MOP
2010,Dirección de Arquitectura ,Metropolitana,CONSTRUCCION Y DESARROLLO  MUSEO DE LA MEMORIA SANTIAGO,12037.068716013215,INFRAESTRUCTURA CULTURAL
